ID,Sesion,Nivel,Intento,Fecha,Tiempo,Evento
10,3,1,1,2025-11-13,14:16:15.357,Reglas incumplidas
10,3,1,1,2025-11-13,14:16:16.957,Reglas incumplidas
10,3,1,1,2025-11-13,14:16:21.651,Reglas incumplidas
10,3,1,1,2025-11-13,14:16:25.517,Reglas incumplidas
10,3,1,1,2025-11-13,14:16:34.350,Reglas incumplidas
10,3,1,1,2025-11-13,14:16:40.706,Reglas cumplidas
10,3,1,1,2025-11-13,14:16:42.139,Planificacion guardada
10,3,1,1,2025-11-13,14:16:42.399,Hora salida seleccionada
10,3,1,1,2025-11-13,14:16:44.382,Empieza pregunta y decision
10,3,1,1,2025-11-13,14:16:44.382,Pregunta dormir
10,3,1,1,2025-11-13,14:16:46.716,Termina pregunta y decision
10,3,1,1,2025-11-13,14:16:46.736,Respuesta dormir Si
10,3,1,1,2025-11-13,14:16:46.736,Empieza a dormir
10,3,1,1,2025-11-13,14:16:51.748,Empieza a dormir
10,3,1,1,2025-11-13,14:16:56.448,Empieza pregunta y decision
10,3,1,1,2025-11-13,14:16:56.449,Pregunta parada
10,3,1,1,2025-11-13,14:16:58.449,Termina pregunta y decision
10,3,1,1,2025-11-13,14:16:58.449,Respuesta parada No
10,3,1,1,2025-11-13,14:17:04.681,Empieza pregunta y decision
10,3,1,1,2025-11-13,14:17:04.681,Pregunta parada
10,3,1,1,2025-11-13,14:17:06.748,Termina pregunta y decision
10,3,1,1,2025-11-13,14:17:06.749,Respuesta parada Si
10,3,1,1,2025-11-13,14:17:12.981,Empieza pregunta y decision
10,3,1,1,2025-11-13,14:17:12.981,Pregunta parada
10,3,1,1,2025-11-13,14:17:15.481,Termina pregunta y decision
10,3,1,1,2025-11-13,14:17:15.482,Respuesta parada Si
10,3,1,1,2025-11-13,14:17:19.315,Ubicacion enviada
10,3,1,1,2025-11-13,14:17:19.315,Ubicacion bien enviada
10,3,1,1,2025-11-13,14:17:21.714,Empieza pregunta y decision
